Title,Plot,Cast,Director,Writer,Production,Runtime,Budget,Box office,Rating,Genre
Ace Ventura: Pet Detective (1994),"Ace Ventura is an unorthodox Miami-based private detective who specializes in retrieving tame or captive animals. He struggles to pay his rent and is often mocked by the Miami Police Department, led by Lieutenant Lois Einhorn, who finds Ventura insufferable. Two weeks before the Super Bowl, the Miami Dolphins' mascot, a bottlenose dolphin named Snowflake, is kidnapped at Joe Robbie Stadium. Melissa Robinson, the team's chief publicist, hires Ventura to find Snowflake. Searching Snowflake's tank for clues, Ventura finds a rare triangle-cut orange amber stone in the filter. Ace suspects billionaire Ronald Camp may have stolen Snowflake, as he is known for collecting exotic animals through less-than-reputable means and sources. Ventura and Melissa sneak into Camp's party, where Ventura mistakes a shark for Snowflake and is nearly eaten. Camp apologizes and shakes Ventura's hand, revealing on one of his own fingers a ring with an amber stone set identical to the one Ventura found. Ruling out Camp, as his ring was not missing the amber stone, Ventura recognizes the stone as part of a 1984 AFC Championship ring and concludes that a member of the 1984 Miami Dolphins line-up may have kidnapped Snowflake, and attempts to identify the culprit by their rings. However, he discovers all of the team members' rings are intact. Roger Podacter, the team's head of operations, mysteriously dies after falling from his apartment balcony. Einhorn declares it a suicide, but Ventura proves that it was murder because the soundproof balcony glass doors were closed when the police arrived despite a neighbor claiming to have heard screaming. He comes across an old photograph of the football team, discovering an unfamiliar player named Ray Finkle, who was added as a placekicker in mid-season. Finkle missed a relatively easy field-goal kick at the end of Super Bowl XVII, which cost the Dolphins the championship and ruined his career. Visiting Finkle's parents, Ventura learns that Finkle blamed quarterback Dan Marino for allegedly mishandling the ball before the kick, and became so fixated on this that he was committed to a mental hospital for homicidal tendencies. Marino himself is kidnapped shortly thereafter. Ventura visits Einhorn, pitching his theory that Finkle kidnapped both Marino and Snowflake in an act of revenge, as he was offended that the dolphin has been given Finkle's old team number and a field-goal trick to boot; he also theorizes that Finkle murdered Podacter when the latter discovered him snooping around his apartment. Einhorn compliments Ventura and kisses him before attempting to dissuade him from continuing the case since there is now a suspect, but Ventura refuses since he is still under contract by the Dolphins to locate Snowflake. Ventura and Melissa go to the mental hospital, where Ventura poses as a potential patient by dressing in a pink tutu.  Ventura uncovers a newspaper article in Finkle's possessions about a missing hiker named Lois Einhorn. Piecing together the evidence, Ventura is shocked and disgusted to realize that Einhorn is Finkle: Finkle underwent plastic surgery to take on the identity of the missing Einhorn, and infiltrated the Miami Police Department to get revenge on Marino and the Dolphins. On Super Bowl Sunday, Ventura follows Einhorn to an abandoned yacht storage facility where she has Marino and Snowflake held hostage. Einhorn calls the police, blaming Ventura with no proof. Melissa and Ventura's friend, police officer Emilio, suspecting the deception, stage a hostage situation to get the police to listen to Ventura. To prove Einhorn is Finkle, Ace strips her of her clothes and, with help from Marino, reveals that Einhorn never got the penectomy and vaginoplasty necessary to perfect the disguise; Podacter discovered this during a date with Einhorn and was pushed off the balcony to stop him from revealing this to the public. Einhorn/Finkle is arrested by the police after attacking Ventura, and her/his ring is confirmed to have the stone missing. Marino and Snowflake are welcomed back during half-time at the Super Bowl; Ventura is then shown on the stadium's jumbotron and acknowledged as their savior, even as he gets into a scuffle with the Philadelphia Eagles' mascot Swoop over a rare pigeon, receiving a large ovation from the crowd. ","{'Jim Carrey': 'Ace Ventura', 'Sean Young': 'Lt. Lois Einhorn / Ray Finkle', 'Courteney Cox': 'Melissa Robinson', 'Tone Loc': 'Emilio', 'Dan Marino': 'Himself', 'Noble Willingham': 'Riddle', 'John Capodice': 'Sgt. Aguado', 'Raynor Scheine': 'Woodstock', 'Frank Adonis': 'Vinnie', 'Tiny Ron': 'Roc', 'Troy Evans': 'Roger Podacter', 'Udo Kier': 'Ronald Camp', 'David Margulies': 'Doctor', 'Bill Zuckert': 'Mr. Finkle', 'Judy Clayton': 'Martha Mertz', 'Alice Drummond': 'Mrs. Finkle', 'Rebecca Ferratti': 'Sexy Woman', 'Mark Margolis': ""Mr. Shickadance, Ace's landlord"", 'Randall ""Tex"" Cobb': 'Gruff Man', 'Cannibal Corpse': 'themselves'}",['Tom Shadyac'],['Jack Bernstein'],['Morgan Creek Productions'],86 minutes,$15 million,$107.2 million,6.9,['Comedy']
Affliction (1997),"Rolfe Whitehouse begins the film, announcing the story of his brother Wade's ""strange criminal behavior"" and subsequent disappearance. Wade Whitehouse is a small-town policeman in New Hampshire. On Halloween night, Wade meets his daughter Jill, but he is late and the evening is overshadowed by disharmony. Jill eventually calls her mother, Wade's ex-wife, to come and pick her up. When his ex-wife finally arrives, Wade shoves her lover against their car and watches them drive away with Jill. Wade vows to get a lawyer to help gain custody of his daughter. The next day, Wade rushes to the scene of a crime. Jack Hewitt, a local hunting guide, claims that Evan Twombley, with whom he was hunting, accidentally shot and killed himself. The police believe Jack, but Wade grows suspicious, believing that the man's death was no accident. When he is informed that the victim was scheduled to testify in a lawsuit, his suspicion slowly turns into conviction. A while later, Wade and his girlfriend Margie Fogg arrive at the house of Wade's alcoholic father, Glen Whitehouse, whose abusive treatment of Wade and Rolfe as children is seen in flashbacks throughout the film. Wade finds his mother lying dead in her bed from hypothermia. Glen reacts to her death with little surprise, and later gets drunk at her wake and gets into a fight with Wade. Rolfe, who has come home for the funeral, suggests at first that Wade's murder theory could be correct, but later renounces himself of this presumption. Nonetheless, Wade becomes obsessed with his conviction. When Wade learns that town Selectman Gordon Lariviere is buying up property all over town with the help from a wealthy land developer, he makes the solving of these incidents his personal mission. Suffering from a painful toothache and becoming increasingly socially detached, he behaves more and more unpredictably. He follows Jack, convinced that Jack is running away from something and is involved in a conspiracy. After a car chase, a nervous Jack finally pulls over, threatens Wade with a rifle, shoots out his tires, and drives off. Finally, Wade is fired for harassing Jack and trashing Lariviere's office. He collects Jill from her mother's house, where his ex-wife furiously castigates him over his plans to sue for full custody. At a local restaurant, he attacks the bartender in front of his daughter. Then Wade takes Jill home to find Margie leaving him. Wade grabs Margie and begs her to stay, but Jill rushes up and tries to stop the fight. In response, Wade angrily pushes Jill, giving her a bloody nose forcing both her and Margie to drive off. Wade is then approached by Glen, who congratulates him for finally acting as a ""real man"". The latent aggression between the men culminates in another fight in which Wade hits his father with the butt of a rifle, accidentally killing him. Wade burns the corpse in the barn, sits down at the kitchen table and starts drinking. Rolfe's narration reveals that Wade eventually murdered Jack and left town (possibly to Canada, where Jack's truck was found three days later), never to return. Rolfe relates that the town later became part of a huge ski resort partly organized by Gordon Lariviere, but having nothing to do with either Jack or Twombley. Rolfe concludes that someday a vagrant resembling Wade might be found frozen to death, and that will be the end of the story. ","{'Nick Nolte': 'Wade Whitehouse', 'James Coburn': 'Glen Whitehouse', 'Sissy Spacek': 'Margie Fogg', 'Willem Dafoe': 'Rolfe Whitehouse', 'Mary Beth Hurt': 'Lillian Whitehouse', 'Brigid Tierney': 'Jill Whitehouse', 'Holmes Osborne': 'Gordon LaRiviere', 'Jim True-Frost': 'Jack Hewitt', 'Tim Post': 'Chick Ward', 'Christopher Heyerdahl': 'Frankie Lacoy', 'Marian Seldes': 'Alma Pittman', 'Janine Theriault': 'Hettie Rogers', 'Paul Stewart': 'Mr. Horner', 'Wayne Robson': 'Nick Wickham', 'Sean McCann': 'Evan Twombley', 'Sheena Larkin': 'Lugene Brooks', 'Penny Mancuso': 'Woman Driver'}",['Paul Schrader'],,"['', 'Largo Entertainment', 'Reisman Productions', 'Kingsgate Films', '']",114 minutes,$6 mill,$6.3 million[2],6.9,"['Drama', 'Mystery', 'Thriller']"
Agnes Of God (1985),"In a Roman Catholic convent in Montreal, Quebec, Canada, during evening prayers, the nuns hear screams coming from the room of Sister Agnes, a young novice. Agnes is found in her room bleeding profusely, and in a  basket, Mother Superior Miriam finds a dead infant. Sister Agnes is suspected of killing the baby, so psychiatrist Martha Livingston is assigned by a court to determine if she is competent to stand trial. In an interview, Agnes claims she does not remember being pregnant or giving birth, and shows a lack of understanding of how babies are conceived. Mother Miriam tells Livingston that Agnes is an ""innocent"" who was kept at home by her mother and knows nothing about the world. She is desperate to keep Agnes naive, and declares that she could not have known what pregnancy was or remember the father. Mother Miriam tells Livingston about the time Agnes stopped eating in the belief she was getting fat, and then exhibited stigmata in her hand that healed itself within a day. Agnes tells Livingston of her friendship with Sister Marie-Paul, the oldest nun, who showed her a ""secret place"" – a bell tower, which she then shows Livingston. They argue about Agnes' mother and birth, and how much Agnes knows about sex and pregnancy. Mother Miriam tells Livingston that Agnes must have conceived on January 23, because that is the night Agnes burned her bedsheets confessing they were ""stained"". While looking around the convent grounds, Livingston comes across a barn. She and a young Monsignor argue about whether her lack of faith will leave her unable to treat Agnes with dignity. Livingston learns that Agnes' mother was verbally and sexually abusive, telling her she was a ""mistake""; and that Agnes is Mother Miriam's niece. Livingston receives permission from the court to hypnotize Agnes, but Mother Miriam is strongly against it, believing it will strip her of her innocence. While hypnotized, Agnes admits she gave birth and that another woman in the convent knew she was pregnant, but will not reveal who. Livingston discovers that a workroom in the convent has a concealed staircase to a tunnel leading to the barn. (A historian explains that many old convents have ""secret"" tunnels, to let the nuns move between buildings during the winter.) Mother Miriam tries to have Livingston removed from the case, but she appeals to the court authorities and is retained. Livingston obtains a second court order to put Agnes under hypnosis again. Mother Miriam admits that she knew Agnes was pregnant and put the wastebasket in her room, but denies she killed the baby. Under hypnosis, Agnes reveals that on the night Sister Marie-Paul died, she told Agnes she had seen ""Him"" from the bell tower and directed Agnes to meet ""Him"" in the barn. Under questioning, she appears to describe an encounter with a real presence – human or divine. Suddenly, Agnes exhibits stigmata in her hands, and begins bleeding profusely. Agnes declares that ""He"" raped her, and that she hates God for it. She admits that Mother Miriam was present when the baby was born, but then left briefly; whereupon Agnes killed the child believing that, like herself, the baby was a ""mistake"". Agnes is found not guilty by reason of insanity and returned to the convent where a doctor can ""visit"" periodically. She tells the judge that she heard ""Him"" singing beneath her bedroom window for six nights in a row, and then on the seventh night he lay on top of her, implying that she may have been raped and impregnated by a trespasser. ","{'Anne Bancroft': 'Mother Miriam Ruth (religious name) | Anna Maria Burchetti (birth name)', 'Meg Tilly': 'Sister Agnes Devereaux', 'Anne Pitoniak': 'Mrs. Livingston, the mother of Martha', 'Winston Rekert': 'Det. Langevin', 'Gratien Gélinas': 'Father Martineau', 'Guy Hoffman': 'Justice Joseph Leveau', 'Gabriel Arcand': 'Monsignor', 'Françoise Faucher': 'Eve LeClaire'}",['Norman Jewison'],,,99 minutes,$7.5 million,$25.6 mill,6.6,"['Drama', 'Mystery']"
Air Force One (1997),"A joint operation between American and Russian Special Forces captures General Radek, the dictator of a rogue neo-Soviet regime in Kazakhstan that retained its nuclear weapons, threatening war. Three weeks after the mission, United States President James Marshall attends a diplomatic dinner in Moscow, Russia, during which he praises the operation and insists the United States will no longer negotiate with terrorists. Marshall and his entourage, including his wife Grace and daughter Alice, and several of his cabinet and advisers, prepare to return home on Air Force One. In addition, members of the press have been invited aboard, including six Radek loyalists disguised as journalists, led by Egor Korshunov. After takeoff, Secret Service agent Gibbs, a mole, enables Korshunov and his men to obtain weapons and storm the plane, killing many of the other security and military personnel before taking the rest hostage, including Grace and Alice. Marshall is raced to an escape pod in the cargo hold while pursued by Korshunov's men, but they are too late to stop the pod from ejecting. Korshunov breaches the cockpit and kills the crew, narrowly preventing the plane from making an emergency landing at Ramstein Air Force Base in Germany. A squadron of F-15s escort Air Force One as Korshunov has it piloted towards a Radek-loyal airbase in Kazakhstan. Unknown to all, Marshall, a veteran of the Vietnam War and a Medal of Honor recipient, had hidden himself in the cargo hold instead of using the pod, and stealthily observes the loyalists. He covertly kills two of Korshunov's men and uses a satellite phone to communicate with Vice President Kathryn Bennett, letting his staff know he is still alive and aboard the plane. Korshunov, assuming that it is merely a Secret Service agent that is in the cargo hold, contacts Bennett and demands Radek's release, threatening to kill a hostage every half-hour. Marshall and military advisors devise a plan to trick Korshunov to take Air Force One to a lower altitude for a mid-air refueling, buying time for the hostages to parachute safely off the plane. As a KC-10 tanker docks with Air Force One, Marshall helps to capture another loyalist and escorts the hostages to the cargo hold, where the majority parachute to safety. Korshunov discovers the deception and forces Air Force One to break the connection with the tanker, causing the fuel to ignite and destroying the tanker; the consequent shockwave disrupts the escape process, and Korshunov is able to stop Marshall, Chief of Staff Lloyd Shepherd, Major Caldwell, and Gibbs from escaping. The captured loyalist and some of the hostages fall out of the plane without parachutes to their deaths. With the president and his family under his control, Korshunov violently berates Marshall for killing his men, and forces him to contact Russian President Petrov and arrange for Radek's release. Bennett is urged by Defense Secretary Walter Dean to declare the president incapable under the 25th Amendment, thus overriding Radek's release, but she refuses. While Korshunov and his men celebrate the news of Radek's release, Marshall breaks his bonds and kills Korshunov and his remaining henchmen. Marshall races back just in time to rescind his order, and Radek is fatally shot when he attempts to escape. Marshall and Caldwell direct the plane back to friendly airspace but are quickly tailed by a second batch of Radek loyalists in MiG-29s. The F-15s rejoin Air Force One and engage with the MiG-29s, with an F-15 pilot sacrificing himself to intercept a missile; the resultant explosion damages the plane's tail, and they start to lose altitude. A standby United States Air Force Special Operations Command MC-130E with the callsign Liberty 24 is called to help, sending parajumpers on tether lines to rescue the survivors. Marshall insists that his family and the injured Shepherd be transferred first. When there is time for only one more transfer, Gibbs reveals himself as the traitor, killing Caldwell and the last parajumper. Marshall and Gibbs fight for control of the transfer line; Marshall attaches himself at the last moment. As the MC-130E airmen reel Marshall to safety, the now-inoperable Air Force One crashes into the Caspian Sea, killing Gibbs. With Marshall and his family safe, Liberty 24 is given the callsign Air Force One as they fly back to safety. ","{'Gary Oldman': 'Egor Korshunov, a ruthless Radek loyalist and terrorist ringleader, who leads the hijacking of Air Force One. Korshunov believes that the collapse of the Soviet Union has ruined his country. The character is erroneously named Ivan Korshunov in the end credits.', 'Glenn Close': 'Vice President Kathryn Bennett, the first female Vice President of the United States, who commands the situation in the White House Situation Room', 'Wendy Crewson': 'First Lady Grace Marshall', 'Liesel Matthews': ""Alice Marshall, the President's daughter"", 'Paul Guilfoyle': 'White House Chief of Staff Lloyd Shepherd', 'William H. Macy': 'Major Norman Caldwell, United States Air Force, military aide to the President', 'Dean Stockwell': 'Defense Secretary Walter Dean', 'Elya Baskin': ""Andrei Kolchak, Korshunov's best friend, trusted lieutenant and pilot"", 'Levan Uchaneishvili': ""Sergei Lenski, Korshunov's henchman and communications expert"", 'David Vadim': ""Igor Nevsky, Korshunov's henchman"", 'Andrew Divoff': ""Boris Bazylev, Korshunov's henchman"", 'Ilia Volok': ""Vladimir Krasin, Korshunov's henchman and close friend, whom he served with in the Soviet-Afghan War"", 'Xander Berkeley': ""Secret Service Special Agent Gibbs, the head of the Presidential Protective Division and the hijackers' mole. The hijackers never reveal that Gibbs is their inside man."", 'Alan Woolf': 'Russian President Stolicha Petrov', 'Tom Everett': 'National Security Advisor Jack Doherty. Korshunov executes Doherty, the first hostage to die.', 'Jürgen Prochnow': ""General Ivan Radek, the military dictator of a rogue terrorist regime in Kazakhstan, which has taken possession of stolen former Soviet nuclear weapons, threatening to start a new Cold War. Radek's regime is responsible for the killing of 200,000 people. Captured by a joint Russian–American military team, Radek is imprisoned in Russia, awaiting trial for his crimes against humanity. The terrorists who take over Air Force One demand his release, threatening to kill a hostage every half-hour. The character is erroneously named Alexander Radek by the end credits."", 'Donna Bullock': 'Deputy Press Secretary Melanie Mitchell. Korshunov executes Melanie, the second hostage to die.', 'Michael Ray Miller': 'Colonel Axelrod, United States Air Force, pilot of Air Force One', 'Carl Weintraub': 'Lieutenant Colonel Ingraham, United States Air Force, co-pilot of Air Force One', 'Spencer Garrett': 'White House aide Thomas Lee', 'Bill Smitrovich': 'General William Northwood, the Chairman of the Joint Chiefs of Staff', 'Glenn Morshower': 'United States Secret Service Agent Walters', 'David Gianopoulos': 'United States Secret Service Agent Johnson', 'Dan Shor': 'Notre Dame aide', 'Philip Baker Hall': 'Attorney General Andrew Ward', 'Richard Doyle': 'Colonel Bob Jackson, United States Air Force, Air Force One Backup Pilot', 'Willard Pugh': 'White House Communications officer', 'Diana Bellamy': 'White House switchboard operator Pananides', 'Don McManus': 'Lieutenant Colonel Jack Carlton, F-15 ""Halo Flight"" Leader', 'J. A. Preston': ""Major General Samuel Greely. Having been President Marshall's commanding officer during the Vietnam War, he is the first to anticipate that Marshall is battling the hijackers.""}",['Wolfgang Petersen'],,"['', 'Columbia Pictures', 'Beacon Pictures', 'Radiant Productions', '']",124 minutes,$85 million,$315.2 million,,
Airplane! (1980),"Ex-fighter pilot Ted Striker is a traumatized war veteran turned taxi driver. Because of his pathological fear of flying and subsequent ""drinking problem""—he splashes beverages anywhere but into his mouth—Ted has been unable to hold a responsible job. His wartime girlfriend, Elaine Dickinson, now a flight attendant, breaks off her relationship with him before boarding her rostered flight from Los Angeles to Chicago. Ted abandons his taxi and buys a ticket on the same flight to try to win her back. Once on board, however, Elaine continues to reject him, causing Ted to accidentally drive several other passengers to suicide as he sadly reminisces. After the in-flight meal is served, the entire flight crew and several passengers fall ill. Passenger Dr. Rumack discovers that the fish served during meal service has caused food poisoning. With the flight crew incapacitated, Elaine contacts the Chicago control tower for help and is instructed by tower supervisor Steve McCroskey to activate the plane's autopilot, a large inflatable dummy pilot dubbed ""Otto"", which will get them to Chicago but not be able to land the plane. Elaine and Rumack convince Ted to take the controls. When Steve learns Ted is piloting, he contacts Ted's former commanding officer, Rex Kramer—now serving as a commercial pilot—to help talk Ted through the landing procedure. Ted becomes uneasy when Kramer starts giving orders and he briefly breaks down amid more wartime flashbacks. Elaine and Rumack both bolster Ted's confidence and he manages to once again take the controls. As the plane nears Chicago, the weather worsens, complicating the landing. With Elaine's help as co-pilot and Rex's guidance from the tower, Ted is able to land the plane safely, despite the landing gear shearing off, and the passengers suffer only minor injuries. Rescue vehicles arrive to help unload the plane. Impressed by Ted's display of courage, Elaine embraces and kisses him, rekindling their relationship. The two watch as ""Otto"" takes control of the plane, inflates a female companion, and takes off. ","{'Robert Hays': 'Ted Striker', 'Julie Hagerty': 'Elaine Dickinson', 'Leslie Nielsen': 'Dr. Rumack', 'Peter Graves': 'Captain Clarence Oveur', 'Lloyd Bridges': 'Steve McCroskey', 'Robert Stack': 'Captain Rex Kramer', 'Lorna Patterson': 'Randy', 'Stephen Stucker': 'Air Traffic Controller Johnny Henshaw-Jacobs', 'Frank Ashmore': 'Victor Basta', 'Jonathan Banks': 'Gunderson', 'Kareem Abdul-Jabbar': 'First Officer Roger Murdock/himself', 'Craig Berenson': 'Paul Carey', 'Barbara Billingsley': 'Jive Lady', 'Lee Bryant': 'Mrs. Hammen', 'Nicholas Pryor': 'Jim Hammen', 'Joyce Bulifant': 'Mrs. Davis', 'Maureen McGovern': 'Nun', 'Kenneth Tobey': 'Air Controller Neubauer', 'Marcy Goldman': 'Mrs. Geline', 'Barbara Stuart': 'Mrs. Kramer', 'Ross Harris': 'Joey Hammen', 'Norman Alexander Gibbs': 'First Jive Dude', 'Al White': 'Second Jive Dude', 'David Hollander': 'Young Boy with Coffee', 'Michelle Stacy': 'Young Girl with Coffee', 'David Leisure': 'First Krishna', 'Jason Wingreen': 'Dr. Brody', 'Jill Whelan': 'Lisa Davis', 'Ethel Merman': 'Lieutenant Hurwitz', 'Lee Terri': 'Mrs. Linda Oveur', 'Jimmie Walker': 'Windshield Wiper Man', 'James Hong': 'Japanese General', 'Howard Jarvis': 'Man in Taxi', 'Michael Laurence': 'Newscaster', 'Herb Voland': 'Air Controller Macias'}","['', 'Jim Abrahams', 'David Zucker', 'Jerry Zucker', '']",,['Paramount PicturesHoward W. Koch Productions'],87 minutes[2],$3.5 million,$171 million,7.7,['Comedy']
Alien (1979),"The commercial space tug Nostromo is returning to Earth with a seven-member crew in stasis: Captain Dallas, Executive Officer Kane, Warrant Officer Ripley, Navigator Lambert, Science Officer Ash, and engineers Parker and Brett. Detecting a transmission from a nearby moon, the ship's computer, Mother, awakens the crew. Per company policy requiring any potential distress signal be investigated, they land on the moon despite Parker's protests, sustaining damage from its atmosphere and rocky landscape. The engineers stay on board for repairs while Dallas, Kane, and Lambert investigate the terrain. They discover the signal originates from a derelict alien ship and enter it, losing contact with the Nostromo. Ripley deciphers part of the transmission, determining it as a warning, but cannot relay the information to those on the derelict ship. Meanwhile, Kane discovers a chamber containing hundreds of large, egg-like objects. When he touches one, a creature springs out, penetrates his helmet, and attaches itself to his face. Dallas and Lambert carry the unconscious Kane back to the Nostromo. As the acting senior officer, Ripley refuses to let them aboard, citing quarantine regulations, but Ash overrides her decision and lets them inside. Ash attempts to remove the creature from Kane's face, but stops when he discovers that its extremely corrosive acidic blood could hurt Kane and potentially damage the hull. It later freely detaches and is found dead. The ship is partially repaired, and the crew continues their journey back to Earth. Kane awakens with some memory loss but seems to be otherwise unharmed. During a final crew meal before returning to stasis, he suddenly chokes and convulses. A small alien creature bursts from Kane's chest, killing him, and escapes into the ship, with Ash dissuading the rest from killing it. After ejecting Kane's body out of an airlock, the crew attempts to locate the creature with tracking devices and capture it with nets, electric prods, and flamethrowers. Brett follows the crew's cat, Jones, into a landing leg compartment,[10] where the now-fully-grown alien attacks Brett and disappears with his body. After a heated discussion, the crew decides the creature must be in the air ducts. Dallas enters the ducts, intending to force the monster into an airlock, but it ambushes and seemingly kills him. Lambert, realizing that the alien intends to kill the crew one by one, implores the others to abandon ship and escape in its small shuttle, but Ripley, now in command, explains it will not support four people and insists on continuing Dallas' plan of flushing out the alien. Accessing Mother, Ripley discovers the company has secretly ordered Ash to return with the alien and to consider the crew as expendable. She confronts Ash, who tries to choke her to death. Parker intervenes and clubs Ash, knocking his head loose and revealing him as an android. He, Ripley, and Lambert reactivate Ash's head, and they learn that he was assigned to ensure the creature's survival. He expresses admiration for the creature's psychology, unhindered by conscience or morality, and taunts them about their chances of survival. Ripley cuts off his power and Parker incinerates him. The remaining crew decides to self-destruct the Nostromo and escape in the shuttle. However, Parker and Lambert are ambushed and killed by the creature while gathering life-support supplies. Ripley initiates the self-destruct sequence but finds the alien blocking her path to the shuttle. She retreats and attempts unsuccessfully to abort the self-destruct. With no further options, she flees to the shuttle, carrying Jones, and narrowly escapes as the Nostromo explodes. As Ripley prepares for stasis, she discovers that the alien is aboard, having wedged itself into a narrow space. She dons a spacesuit and uses gas to flush the creature out. It approaches Ripley, but before it can attack, she opens an airlock door, almost blasting it into space. However, it hangs on by gripping the frame. Ripley shoots it with a grappling hook, but the gun catches as the airlock door closes, tethering the alien to the shuttle. It pulls itself into an engine exhaust, but Ripley fires the engines, blasting it away into deep space. After recording the final log entry, she places Jones and herself into stasis for the trip back to Earth. ","{'John Hurt': ""Kane, the executive officer who becomes the host for the alien. Hurt was Scott's first choice for the role, but he was contracted on a film in South Africa during Alien's filming dates, so Jon Finch was cast"", 'Sigourney Weaver': 'Ripley, the warrant officer aboard the Nostromo. Meryl Streep was considered for the role, but she was not contacted', 'Veronica Cartwright': ""Lambert, the Nostromo's navigator. Cartwright had experience in horror and science-fiction films, having acted"", 'Yaphet Kotto': 'Parker, the chief engineer.[12] Kotto was sent a script off the back of his recent success', 'Harry Dean Stanton': 'Brett, the engineering technician. Stanton\'s first words to Scott during his audition were, ""I don\'t like sci fi or monster movies"".[11] Scott was amused, and convinced Stanton to take the role after reassuring him that Alien would actually be a thriller more akin to Ten Little Indians.[11]', 'Ian Holm': ""Ash, the ship's science officer who is revealed to be an android. Holm was a character actor, who, by 1979, had already been in 20 films.[22]"", 'Bolaji Badejo': 'the alien. Badejo,'}",['Ridley Scott'],"['', ""Dan O'Bannon"", 'Ronald Shusett', '']","['', '20th Century-Fox', 'Brandywine Productions[1][2]', '']",116 minutes[3],$11 million[a],$184.7 million[5],,
